Name,Height,Weight,Age,PTS,REB,AST,NETRTG
Patrick Beverley,6-1,180,32,7.5,3.2,2.1,9
Patrick McCaw,6-7,181,25,1,0.6,0.8,-33
Patrick Patterson,6-8,235,32,5.2,2,0.8,2.1
Patrick Williams,6-7,215,19,9.2,4.6,1.4,-7.1
Patty Mills,6-1,180,32,10.8,1.7,2.4,1.4
Paul George,6-8,220,31,23.3,6.6,5.2,11.3
Paul Millsap,6-7,257,36,9,4.7,1.8,4.7
Paul Reed,6-9,210,22,3.4,2.3,0.5,11.2
Paul Watson,6-6,210,26,4.1,1.7,0.6,-1.7
Payton Pritchard,6-1,195,23,7.7,2.4,1.8,0.6
Precious Achiuwa,6-8,225,21,5,3.4,0.5,-7.2
Quinn Cook,6-1,180,28,3.3,0.7,0.8,-3.9
Quinndary Weatherspoon,6-3,205,24,2.3,0.6,0.4,-22.6
